Year,Entidad federativa,Cobertura geografica,GeoCode,Value
2018,Jalisco,Urbana,14,
2012,Jalisco,Urbana,14,
2006,Jalisco,Urbana,14,
2021,Jalisco,Rural,14,
2020,Jalisco,Rural,14,
2018,Jalisco,Rural,14,
2012,Jalisco,Rural,14,
2006,Jalisco,Rural,14,
2021,México,Nacional,15,
2020,México,Nacional,15,
2018,México,Nacional,15,2.79
2012,México,Nacional,15,
2006,México,Nacional,15,
2021,México,Urbana,15,
2020,México,Urbana,15,
2018,México,Urbana,15,
2012,México,Urbana,15,
2006,México,Urbana,15,
2021,México,Rural,15,
2020,México,Rural,15,
2018,México,Rural,15,
2012,México,Rural,15,
2006,México,Rural,15,
2021,Michoacán de Ocampo,Nacional,16,
2020,Michoacán de Ocampo,Nacional,16,
2018,Michoacán de Ocampo,Nacional,16,7.62
2012,Michoacán de Ocampo,Nacional,16,
2006,Michoacán de Ocampo,Nacional,16,
2021,Michoacán de Ocampo,Urbana,16,
2020,Michoacán de Ocampo,Urbana,16,
2018,Michoacán de Ocampo,Urbana,16,
2012,Michoacán de Ocampo,Urbana,16,
2006,Michoacán de Ocampo,Urbana,16,
2021,Michoacán de Ocampo,Rural,16,
2020,Michoacán de Ocampo,Rural,16,
2018,Michoacán de Ocampo,Rural,16,
2012,Michoacán de Ocampo,Rural,16,
2006,Michoacán de Ocampo,Rural,16,
2021,Morelos,Nacional,17,
2020,Morelos,Nacional,17,
2018,Morelos,Nacional,17,4.94
2012,Morelos,Nacional,17,
2006,Morelos,Nacional,17,
2021,Morelos,Urbana,17,
2020,Morelos,Urbana,17,
2018,Morelos,Urbana,17,
2012,Morelos,Urbana,17,
2006,Morelos,Urbana,17,
2021,Morelos,Rural,17,
2020,Morelos,Rural,17,
2018,Morelos,Rural,17,
2012,Morelos,Rural,17,
2006,Morelos,Rural,17,
2021,Nayarit,Nacional,18,
2020,Nayarit,Nacional,18,
2018,Nayarit,Nacional,18,9.69
2012,Nayarit,Nacional,18,
2006,Nayarit,Nacional,18,
2021,Nayarit,Urbana,18,
2020,Nayarit,Urbana,18,
2018,Nayarit,Urbana,18,
2012,Nayarit,Urbana,18,
2006,Nayarit,Urbana,18,
2021,Nayarit,Rural,18,
2020,Nayarit,Rural,18,
2018,Nayarit,Rural,18,
2012,Nayarit,Rural,18,
2006,Nayarit,Rural,18,
2021,Nuevo León,Nacional,19,
2020,Nuevo León,Nacional,19,
2018,Nuevo León,Nacional,19,8.07
2012,Nuevo León,Nacional,19,
2006,Nuevo León,Nacional,19,
2021,Nuevo León,Urbana,19,
2020,Nuevo León,Urbana,19,
2018,Nuevo León,Urbana,19,
2012,Nuevo León,Urbana,19,
2006,Nuevo León,Urbana,19,
2021,Nuevo León,Rural,19,
2020,Nuevo León,Rural,19,
2018,Nuevo León,Rural,19,
2012,Nuevo León,Rural,19,
2006,Nuevo León,Rural,19,
2021,Oaxaca,Nacional,20,
2020,Oaxaca,Nacional,20,
2018,Oaxaca,Nacional,20,3.14
2012,Oaxaca,Nacional,20,
2006,Oaxaca,Nacional,20,
2021,Oaxaca,Urbana,20,
2020,Oaxaca,Urbana,20,
2018,Oaxaca,Urbana,20,
2012,Oaxaca,Urbana,20,
2006,Oaxaca,Urbana,20,
2021,Oaxaca,Rural,20,
2020,Oaxaca,Rural,20,
2018,Oaxaca,Rural,20,
2012,Oaxaca,Rural,20,
2006,Oaxaca,Rural,20,
2021,Puebla,Nacional,21,
2020,Puebla,Nacional,21,
2018,Puebla,Nacional,21,5.2
2012,Puebla,Nacional,21,
2006,Puebla,Nacional,21,
2021,Puebla,Urbana,21,
2020,Puebla,Urbana,21,
2018,Puebla,Urbana,21,
2012,Puebla,Urbana,21,
2006,Puebla,Urbana,21,
2021,Puebla,Rural,21,
2020,Puebla,Rural,21,
2018,Puebla,Rural,21,
2012,Puebla,Rural,21,
2006,Puebla,Rural,21,
2021,Querétaro,Nacional,22,
2020,Querétaro,Nacional,22,
2018,Querétaro,Nacional,22,1.4399999999999995
2012,Querétaro,Nacional,22,
2006,Querétaro,Nacional,22,
2021,Querétaro,Urbana,22,
2020,Querétaro,Urbana,22,
2018,Querétaro,Urbana,22,
2012,Querétaro,Urbana,22,
2006,Querétaro,Urbana,22,
2021,Querétaro,Rural,22,
2020,Querétaro,Rural,22,
2018,Querétaro,Rural,22,
2012,Querétaro,Rural,22,
2006,Querétaro,Rural,22,
2021,Quintana Roo,Nacional,23,
2020,Quintana Roo,Nacional,23,
2018,Quintana Roo,Nacional,23,2.76
2012,Quintana Roo,Nacional,23,
2006,Quintana Roo,Nacional,23,
2021,Quintana Roo,Urbana,23,
2020,Quintana Roo,Urbana,23,
2018,Quintana Roo,Urbana,23,
2012,Quintana Roo,Urbana,23,
2006,Quintana Roo,Urbana,23,
2021,Quintana Roo,Rural,23,
2020,Quintana Roo,Rural,23,
2018,Quintana Roo,Rural,23,
2012,Quintana Roo,Rural,23,
2006,Quintana Roo,Rural,23,
2021,San Luis Potosí,Nacional,24,
2020,San Luis Potosí,Nacional,24,
2018,San Luis Potosí,Nacional,24,9.11
2012,San Luis Potosí,Nacional,24,
2006,San Luis Potosí,Nacional,24,
2021,San Luis Potosí,Urbana,24,
2020,San Luis Potosí,Urbana,24,
2018,San Luis Potosí,Urbana,24,
2012,San Luis Potosí,Urbana,24,
2006,San Luis Potosí,Urbana,24,
2021,San Luis Potosí,Rural,24,
2020,San Luis Potosí,Rural,24,
2018,San Luis Potosí,Rural,24,
2012,San Luis Potosí,Rural,24,
2006,San Luis Potosí,Rural,24,
2021,Sinaloa,Nacional,25,
2020,Sinaloa,Nacional,25,
2018,Sinaloa,Nacional,25,6.09
2012,Sinaloa,Nacional,25,
2006,Sinaloa,Nacional,25,
2021,Sinaloa,Urbana,25,
2020,Sinaloa,Urbana,25,
2018,Sinaloa,Urbana,25,
2012,Sinaloa,Urbana,25,
2006,Sinaloa,Urbana,25,
2021,Sinaloa,Rural,25,
2020,Sinaloa,Rural,25,
2018,Sinaloa,Rural,25,
2012,Sinaloa,Rural,25,
2006,Sinaloa,Rural,25,
2021,Sonora,Nacional,26,
2020,Sonora,Nacional,26,
2018,Sonora,Nacional,26,8.019999999999998
2012,Sonora,Nacional,26,
2006,Sonora,Nacional,26,
2021,Sonora,Urbana,26,
2020,Sonora,Urbana,26,
2018,Sonora,Urbana,26,
2012,Sonora,Urbana,26,
2006,Sonora,Urbana,26,
2021,Sonora,Rural,26,
2020,Sonora,Rural,26,
2018,Sonora,Rural,26,
2012,Sonora,Rural,26,
2006,Sonora,Rural,26,
2021,Tabasco,Nacional,27,
2020,Tabasco,Nacional,27,
2018,Tabasco,Nacional,27,10.54
2012,Tabasco,Nacional,27,
2006,Tabasco,Nacional,27,
2021,Tabasco,Urbana,27,
2020,Tabasco,Urbana,27,
2018,Tabasco,Urbana,27,
2012,Tabasco,Urbana,27,
2006,Tabasco,Urbana,27,
2021,Tabasco,Rural,27,
2020,Tabasco,Rural,27,
2018,Tabasco,Rural,27,
2012,Tabasco,Rural,27,
2006,Tabasco,Rural,27,
2021,Tamaulipas,Nacional,28,
2020,Tamaulipas,Nacional,28,
2018,Tamaulipas,Nacional,28,9.53
2012,Tamaulipas,Nacional,28,
2006,Tamaulipas,Nacional,28,
2021,Tamaulipas,Urbana,28,
2020,Tamaulipas,Urbana,28,
2018,Tamaulipas,Urbana,28,
2012,Tamaulipas,Urbana,28,
2006,Tamaulipas,Urbana,28,
2021,Tamaulipas,Rural,28,
2020,Tamaulipas,Rural,28,
2018,Tamaulipas,Rural,28,
2012,Tamaulipas,Rural,28,
2006,Tamaulipas,Rural,28,
2021,Tlaxcala,Nacional,29,
2020,Tlaxcala,Nacional,29,
2018,Tlaxcala,Nacional,29,4.19
2012,Tlaxcala,Nacional,29,
2006,Tlaxcala,Nacional,29,
2021,Tlaxcala,Urbana,29,
2020,Tlaxcala,Urbana,29,
2018,Tlaxcala,Urbana,29,
2012,Tlaxcala,Urbana,29,
2006,Tlaxcala,Urbana,29,
2021,Tlaxcala,Rural,29,
2020,Tlaxcala,Rural,29,
2018,Tlaxcala,Rural,29,
2012,Tlaxcala,Rural,29,
2006,Tlaxcala,Rural,29,
2021,Veracruz de Ignacio de la Llave,Nacional,30,
2020,Veracruz de Ignacio de la Llave,Nacional,30,
2018,Veracruz de Ignacio de la Llave,Nacional,30,10.12
2012,Veracruz de Ignacio de la Llave,Nacional,30,
2006,Veracruz de Ignacio de la Llave,Nacional,30,
2021,Veracruz de Ignacio de la Llave,Urbana,30,
2020,Veracruz de Ignacio de la Llave,Urbana,30,
2018,Veracruz de Ignacio de la Llave,Urbana,30,
2012,Veracruz de Ignacio de la Llave,Urbana,30,
2006,Veracruz de Ignacio de la Llave,Urbana,30,
2021,Veracruz de Ignacio de la Llave,Rural,30,
2020,Veracruz de Ignacio de la Llave,Rural,30,
2018,Veracruz de Ignacio de la Llave,Rural,30,
2012,Veracruz de Ignacio de la Llave,Rural,30,
2006,Veracruz de Ignacio de la Llave,Rural,30,
2021,Yucatán,Nacional,31,
2020,Yucatán,Nacional,31,
2018,Yucatán,Nacional,31,9.43
2012,Yucatán,Nacional,31,
2006,Yucatán,Nacional,31,
2021,Yucatán,Urbana,31,
2020,Yucatán,Urbana,31,
2018,Yucatán,Urbana,31,
2012,Yucatán,Urbana,31,
2006,Yucatán,Urbana,31,
2021,Yucatán,Rural,31,
2020,Yucatán,Rural,31,
2018,Yucatán,Rural,31,
2012,Yucatán,Rural,31,
2006,Yucatán,Rural,31,
2021,Zacatecas,Nacional,32,
2020,Zacatecas,Nacional,32,
2018,Zacatecas,Nacional,32,4.88
2012,Zacatecas,Nacional,32,
2006,Zacatecas,Nacional,32,
2021,Zacatecas,Urbana,32,
2020,Zacatecas,Urbana,32,
2018,Zacatecas,Urbana,32,
2012,Zacatecas,Urbana,32,
2006,Zacatecas,Urbana,32,
2021,Zacatecas,Rural,32,
2020,Zacatecas,Rural,32,
2018,Zacatecas,Rural,32,
2012,Zacatecas,Rural,32,
2006,Zacatecas,Rural,32,
